ダウンロードした時刻：2021/04/16 06:47:35

,京都,京都,京都
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
1963/1,1.1,8,2
1963/2,2.3,8,2
1963/3,7.0,8,2
1963/11,11.2,8,2
1963/12,6.7,8,2
1964/1,5.5,8,2
1964/2,3.2,8,2
1964/3,6.6,8,2
1964/11,10.3,8,2
1964/12,6.2,8,2
1965/1,3.3,8,2
1965/2,3.8,8,2
1965/3,5.5,8,2
1965/11,11.8,8,2
1965/12,5.8,8,2
1966/1,3.4,8,2
1966/2,5.7,8,2
1966/3,8.5,8,2
1966/11,10.7,8,2
1966/12,4.7,8,2
1967/1,3.2,8,2
1967/2,4.1,8,2
1967/3,7.7,8,2
1967/11,12.0,8,2
1967/12,4.6,8,2
1968/1,3.4,8,2
1968/2,2.3,8,2
1968/3,8.0,8,2
1968/11,11.6,8,2
1968/12,9.0,8,2
1969/1,4.8,8,2
1969/2,5.0,8,2
1969/3,6.9,8,2
1969/11,11.0,8,2
1969/12,5.7,8,2
1970/1,3.6,8,2
1970/2,5.1,8,2
1970/3,5.0,8,2
1970/11,11.2,8,2
1970/12,6.2,8,2
1971/1,4.3,8,2
1971/2,5.1,8,2
1971/3,7.4,8,2
1971/11,11.8,8,2
1971/12,7.4,8,2
1972/1,7.1,8,2
1972/2,5.8,8,2
1972/3,8.8,8,2
1972/11,12.0,8,2
1972/12,7.7,8,2
1973/1,6.2,8,2
1973/2,6.9,8,2
1973/3,7.8,8,2
1973/11,10.1,8,2
1973/12,4.3,8,2
1974/1,3.2,8,2
1974/2,4.2,8,2
1974/3,7.0,8,2
1974/11,10.4,8,2
1974/12,6.6,8,2
1975/1,4.0,8,2
1975/2,3.7,8,2
1975/3,7.4,8,2
1975/11,12.2,8,2
1975/12,6.3,8,2
1976/1,3.7,8,2
1976/2,6.7,8,2
1976/3,7.9,8,2
1976/11,10.3,8,2
1976/12,6.0,8,2
1977/1,2.5,8,2
1977/2,2.9,8,2
1977/3,8.7,8,2
1977/11,13.4,8,2
1977/12,8.0,8,2
1978/1,4.7,8,2
1978/2,3.5,8,2
1978/3,7.6,8,2
1978/11,11.8,8,2
1978/12,7.5,8,2
1979/1,5.7,8,2
1979/2,7.5,8,2
1979/3,8.0,8,2
1979/11,12.5,8,2
1979/12,7.6,8,2
1980/1,4.2,8,2
1980/2,3.5,8,2
1980/3,7.3,8,2
1980/11,12.2,8,2
1980/12,5.1,8,2
1981/1,2.4,8,2
1981/2,3.9,8,2
1981/3,8.3,8,2
1981/11,9.6,8,2
1981/12,5.8,8,2
1982/1,3.8,8,2
1982/2,4.3,8,2
1982/3,8.6,8,2
1982/11,13.4,8,2
1982/12,7.0,8,2
1983/1,4.8,8,2
1983/2,4.5,8,2
1983/3,7.8,8,2
1983/11,10.9,8,2
1983/12,5.1,8,2
1984/1,2.2,8,2
1984/2,2.3,8,2
1984/3,5.1,8,2
1984/11,12.2,8,2
1984/12,6.6,8,2
1985/1,3.1,8,2
1985/2,5.5,8,2
1985/3,8.5,8,2
1985/11,11.3,8,2
1985/12,5.4,8,2
1986/1,2.8,8,2
1986/2,2.6,8,2
1986/3,7.6,8,2
1986/11,11.0,8,2
1986/12,7.6,8,2
1987/1,4.8,8,2
1987/2,5.3,8,2
1987/3,8.2,8,2
1987/11,12.1,8,2
1987/12,7.0,8,2
1988/1,5.9,8,2
1988/2,3.9,8,2
1988/3,7.3,8,2
1988/11,9.6,8,2
1988/12,5.9,8,2
1989/1,6.8,8,2
1989/2,6.6,8,2
1989/3,8.2,8,2
1989/11,12.6,8,2
1989/12,7.0,8,2
1990/1,4.4,8,2
1990/2,7.9,8,2
1990/3,9.3,8,2
1990/11,13.7,8,2
1990/12,7.7,8,2
1991/1,5.1,8,2
1991/2,4.3,8,2
1991/3,9.4,8,2
1991/11,11.8,8,2
1991/12,8.4,8,2
1992/1,6.1,8,2
1992/2,5.1,8,2
1992/3,9.7,8,2
1992/11,11.9,8,2
1992/12,8.1,8,2
1993/1,5.8,8,2
1993/2,6.1,8,2
1993/3,7.6,8,2
1993/11,13.4,8,2
1993/12,7.1,8,2
1994/1,4.8,8,2
1994/2,4.6,8,2
1994/3,7.1,8,2
1994/11,13.1,8,2
1994/12,7.7,8,2
1995/1,4.6,8,2
1995/2,4.9,8,2
1995/3,8.6,8,2
1995/11,10.3,8,2
1995/12,5.3,8,2
1996/1,4.7,8,2
1996/2,3.7,8,2
1996/3,7.7,8,2
1996/11,12.3,8,2
1996/12,7.1,8,2
1997/1,4.6,8,2
1997/2,4.6,8,2
1997/3,9.3,8,2
1997/11,13.1,8,2
1997/12,7.9,8,2
1998/1,4.9,8,2
1998/2,7.0,8,2
1998/3,9.7,8,2
1998/11,12.5,8,2
1998/12,8.3,8,2
1999/1,5.1,8,2
1999/2,4.7,8,2
1999/3,9.9,8,2
1999/11,12.7,8,2
1999/12,6.9,8,2
2000/1,6.0,8,2
2000/2,3.6,8,2
2000/3,7.5,8,2
2000/11,13.3,8,2
2000/12,7.2,8,2
2001/1,3.9,8,2
2001/2,5.3,8,2
2001/3,8.6,8,2
2001/11,11.4,8,2
2001/12,6.5,8,2
2002/1,5.7,8,2
2002/2,6.1,8,2
2002/3,10.3,8,2
2002/11,9.5,8,2
2002/12,6.9,8,2
2003/1,3.9,8,2
2003/2,5.5,8,2
2003/3,7.3,8,2
2003/11,14.4,8,2
2003/12,7.2,8,2
2004/1,4.3,8,2
2004/2,6.4,8,2
2004/3,9.1,8,2
2004/11,13.5,8,2
2004/12,8.6,8,2
2005/1,4.5,8,2
2005/2,4.9,8,2
2005/3,7.7,8,2
2005/11,11.8,8,2
2005/12,3.9,8,2
2006/1,4.0,8,2
2006/2,5.5,8,2
2006/3,7.5,8,2
2006/11,13.3,8,2
2006/12,7.6,8,2
2007/1,5.8,8,2
2007/2,7.3,8,2
2007/3,8.6,8,2
2007/11,12.0,8,2
2007/12,7.7,8,2
2008/1,4.6,8,2
2008/2,3.6,8,2
2008/3,9.6,8,2
2008/11,11.9,8,2
2008/12,7.6,8,2
2009/1,5.2,8,2
2009/2,6.7,8,2
2009/3,8.8,8,2
2009/11,12.3,8,2
2009/12,7.2,8,2
2010/1,4.7,8,2
2010/2,6.8,8,2
2010/3,8.5,8,2
2010/11,11.8,8,2
