ダウンロードした時刻：2021/04/16 06:52:29

集計開始,集計終了,京都,京都,京都
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1901/2/11,1901/2/20,1.8,8,1
1901/2/21,1901/2/28,2.3,8,1
1901/3/1,1901/3/10,3.1,8,1
1901/3/11,1901/3/20,3.7,8,1
1901/3/21,1901/3/31,8.5,8,1
1901/11/1,1901/11/10,11.4,8,1
1901/11/11,1901/11/20,9.6,8,1
1901/11/21,1901/11/30,5.5,8,1
1901/12/1,1901/12/10,4.7,8,1
1901/12/11,1901/12/20,3.0,8,1
1901/12/21,1901/12/31,2.3,8,1
1902/1/1,1902/1/10,1.2,8,1
1902/1/11,1902/1/20,1.6,8,1
1902/1/21,1902/1/31,2.4,8,1
1902/2/1,1902/2/10,1.6,8,1
1902/2/11,1902/2/20,1.5,8,1
1902/2/21,1902/2/28,4.7,8,1
1902/3/1,1902/3/10,5.0,8,1
1902/3/11,1902/3/20,8.4,8,1
1902/3/21,1902/3/31,9.8,8,1
1902/11/1,1902/11/10,12.1,8,1
1902/11/11,1902/11/20,10.5,8,1
1902/11/21,1902/11/30,9.6,8,1
1902/12/1,1902/12/10,7.4,8,1
1902/12/11,1902/12/20,9.0,8,1
1902/12/21,1902/12/31,3.8,8,1
1903/1/1,1903/1/10,2.6,8,1
1903/1/11,1903/1/20,3.7,8,1
1903/1/21,1903/1/31,5.0,8,1
1903/2/1,1903/2/10,2.7,8,1
1903/2/11,1903/2/20,3.2,8,1
1903/2/21,1903/2/28,4.9,8,1
1903/3/1,1903/3/10,7.0,8,1
1903/3/11,1903/3/20,10.0,8,1
1903/3/21,1903/3/31,8.5,8,1
1903/11/1,1903/11/10,10.6,8,1
1903/11/11,1903/11/20,8.4,8,1
1903/11/21,1903/11/30,5.9,8,1
1903/12/1,1903/12/10,4.9,8,1
1903/12/11,1903/12/20,3.7,8,1
1903/12/21,1903/12/31,1.5,8,1
