avg_tempC,year,season
9.8,1914,late_Mar
15.1,1915,early_Nov
13.7,1915,mid_Nov
6.5,1915,late_Nov
7.6,1915,early_Dec
4.1,1915,mid_Dec
3.9,1915,late_Dec
3.7,1915,early_Jan
1.9,1915,mid_Jan
4,1915,late_Jan
4.1,1915,early_Feb
3.1,1915,mid_Feb
5.8,1915,late_Feb
6.7,1915,early_Mar
4.1,1915,mid_Mar
6,1915,late_Mar
13.9,1916,early_Nov
11,1916,mid_Nov
9.9,1916,late_Nov
5.8,1916,early_Dec
4.1,1916,mid_Dec
5.9,1916,late_Dec
6.1,1916,early_Jan
3.5,1916,mid_Jan
4.9,1916,late_Jan
5.5,1916,early_Feb
2.2,1916,mid_Feb
5.8,1916,late_Feb
3.7,1916,early_Mar
4.2,1916,mid_Mar
6.7,1916,late_Mar
14.8,1917,early_Nov
11.8,1917,mid_Nov
11,1917,late_Nov
9.7,1917,early_Dec
5.8,1917,mid_Dec
3.5,1917,late_Dec
0.9,1917,early_Jan
2.4,1917,mid_Jan
1.1,1917,late_Jan
1,1917,early_Feb
3.4,1917,mid_Feb
4.1,1917,late_Feb
4.3,1917,early_Mar
7.6,1917,mid_Mar
6.5,1917,late_Mar
9.4,1918,early_Nov
6.5,1918,mid_Nov
6.2,1918,late_Nov
5.2,1918,early_Dec
3.6,1918,mid_Dec
0.1,1918,late_Dec
0.7,1918,early_Jan
1.4,1918,mid_Jan
0.9,1918,late_Jan
3.9,1918,early_Feb
1.3,1918,mid_Feb
4.1,1918,late_Feb
5.2,1918,early_Mar
6.8,1918,mid_Mar
7.4,1918,late_Mar
13.3,1919,early_Nov
7.4,1919,mid_Nov
8.1,1919,late_Nov
5.7,1919,early_Dec
4.1,1919,mid_Dec
3.4,1919,late_Dec
3,1919,early_Jan
4.1,1919,mid_Jan
1.9,1919,late_Jan
0.5,1919,early_Feb
5,1919,mid_Feb
7,1919,late_Feb
7.4,1919,early_Mar
6.8,1919,mid_Mar
8.2,1919,late_Mar
13.9,1920,early_Nov
12.3,1920,mid_Nov
7.7,1920,late_Nov
7.3,1920,early_Dec
3.4,1920,mid_Dec
3.9,1920,late_Dec
3.3,1920,early_Jan
3.1,1920,mid_Jan
3.5,1920,late_Jan
4.1,1920,early_Feb
2.7,1920,mid_Feb
2.6,1920,late_Feb
4.5,1920,early_Mar
7.6,1920,mid_Mar
9.3,1920,late_Mar
14.2,1921,early_Nov
